"Family","Genus","species","bar_code","plot_code","X","Y","Fe","sapwood_dens","bark_thick","twig_dens","twig_bark_thick","N","NH4","C13","P","K","chlor","C_N","Nodulation","log_lf_area","log_tough","log_lflt_area","log_LTD","log_SLA","log_moist","PC1","PC2","PC3"
"Combretaceae","Buchenavia","IND","NL110419","NL11",180,27,NA,0.5736,2,0.504,1.881,0.021754547,0.595246,-34.74683707,0.00053,0.0057649,76.2943414057873,22.3910844477709,0,3.89657090086922,0.360002734031407,3.89657090086922,-10.4750543131783,2.75341023594005,-0.102697398238343,-1.19455784119043,0.171239334359885,-0.0237555814033265
"Combretaceae","Terminalia","guianensis","NL110027","NL11",101,37,NA,0.7379,4,0.479,1.509,0.025820469,0.615137,-28.68601722,0.00118,0.00717,45.9687451558503,17.2885310100293,0,3.94093434892257,-0.924658981544672,3.94093434892257,-10.5633214785833,2.98927647321112,-0.759714424832058,-3.61104836213836,-1.64051472819545,0.0455192884853208
"Combretaceae","Terminalia","guianensis","NL110099","NL11",111,61,NA,0.8425,3,0.613,1.5155,0.022000419,0.668864,-29.06198664,0.0008107,0.00451,59.939032791049,21.2410284549581,0,3.91068878241501,-0.483426649577876,3.91068878241501,-10.3875732293523,2.84024737071360,-0.94494744112396,-1.2984371713659,-2.10475493954145,0.800870577170912
"Combretaceae","Terminalia","guianensis","NL110511","NL11",191,1,NA,0.7764,2,0.642,1.551,0.032744844,0.45627,-31.26204264,0.00118,0.00868,81.8072543260728,14.2322437083530,0,3.80443779474821,-0.337806459634350,3.80443779474821,-10.2979854071425,2.90021964410832,-0.75587401046825,-3.04612571985265,-1.78488705509111,1.45686888900919
"Combretaceae","Terminalia","sp.B1","T10380","T1",11.5,15,NA,0.69923,4.4,0.748475265,1.86524154,0.02729296,0.542411,-28.73455828,0.0007183,0.0053504,82.5726170096008,17.8640453069216,0,2.84172602521851,-0.0979804083602038,2.84172602521851,-10.0818241474798,2.51482323961345,-0.528819887138269,-1.12009940822541,-1.94195313271211,-0.540228090120118
"Dichapetalaceae","Tapura","amazonica","NH200402","NH20",73,373,NA,0.6907,2,0.659,2.6445,0.015992702,0.648269,-33.13943031,0.00037,0.0041077,92.8155008410605,22.3007386744279,0,4.18052225846315,0.878242664236625,4.18052225846315,-10.0067795950863,2.18220039306830,-0.578926036469922,1.60080919089022,0.09337478539688,0.770625480630565
"Dichapetalaceae","Tapura","amazonica","NH200409","NH20",73,384,NA,0.6128,3,0.672,1.2535,0.0237125,0.216362,-33.133181179,0.0004222,0.0041598,105.333108656565,21.0290925343711,0,4.39403754734002,0.725937003382936,4.39403754734002,-9.87014001339174,2.12225536350102,-0.282495545764481,1.00010638147913,0.392766882719763,0.158023845197648
"Dichapetalaceae","Tapura","amazonica","P01860384","P018",1,64,NA,0.629,3,0.4488,2.51312325,0.027859304,0.571352,-31.56854169,0.0003054,0.0023138,105.014502484359,18.6471642073019,0,4.33990170837321,1.05779029414785,4.33990170837321,-10.1500270170373,1.95542945590698,-0.491349847265334,0.513954595797366,1.40797498866366,0.201121024840463
"Dichapetalaceae","Tapura","capitulifera","P00610006","P006",10,128,NA,0.7189,3,0.727,1.06550958,0.010864197,0.728829,-31.09707675,0.0002639,0.00394,60.5354963783978,34.8584753203573,0,2.70805020110221,0.913620503318276,2.70805020110221,-10.1768553338414,1.9241486572738,-0.867500567704723,2.87669191742487,-1.52182918222673,-0.0230956741206828
"Dichapetalaceae","Tapura","capitulifera","P00610032","P006",3,170,0.000179556,0.8292,4,0.729,2.238,0.011450317,1,-31.10683227,0.00029,0.00653,107.949821402411,33.6258140276815,0,3.46885603013597,1.28185934298301,3.46885603013597,-10.0367101649849,1.64538258541839,-0.696753676154057,3.38491574439026,-0.039209799140151,0.73540033893217
